run_id,condition,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,iTrial,Phase,key_press,StimulusDurationSetting,ExperimentPhase,correctResponse,slider_start,response,Rearranged,didSubjectEnterRearranged,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
84,1,null,"""",html-keyboard-response,37,77740,0.0-37.0,"<div style=""font-size:60px;"">+</div>","""",4,fixationBtwnNeutralMaskAndPrompt,null,1000,Practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,979.3,"""",html-slider-response,38,78723,0.0-38.0,"<p><b> Practice Set </b></p><img src='jspsych/CFDfaces/CFD-WF-220-101-N.jpg'height=""250px""></br><b>Lisa</b>","""",4,ConfidenceQuery,"""","""",Practice,"""",50,50,0,2,1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,1083.14,"""",html-button-response,39,79808,0.0-39.0,<p>You responded that you were not sure.</p> <p>The pair was intact.</p>,0,4,feedback,"""","""",practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,1371.04,"""",html-keyboard-response,40,84816,0.0-40.0,"<img src='jspsych/CFDfaces/CFD-BM-026-002-N.jpg' height=""250px"">,</br><b>Nathan</b>","""",1,IntactFace,70,5000,Memorization,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,41,85319,0.0-41.0,"<div style=""font-size:60px;"">+</div>","""",1,fixation,null,test,test,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,42,90324,0.0-42.0,"<img src='jspsych/CFDfaces/CFD-LF-232-199-N.jpg' height=""250px"">,</br><b>Lindsay</b>","""",2,IntactFace,null,5000,Memorization,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,43,90826,0.0-43.0,"<div style=""font-size:60px;"">+</div>","""",2,fixation,null,test,test,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,1747.315,"""",html-keyboard-response,44,92576,0.0-44.0,Press Key to Begin Memory Test,"""",1,welcomeScreen,70,"""",Break,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,45,93578,0.0-45.0,"<div style=""font-size:60px;"">+</div>","""",1,ITI,null,1000,Test,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,46,93832,0.0-46.0,jspsych/scrambledNeutralFaces/scrambledBF19NES.JPG,"""",1,forwardMask,null,250,Test,n,"""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
