run_id,condition,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,iTrial,Phase,ExperimentPhase,key_press,StimulusDurationSetting,CharacterResponse,correctResponse,Face,Name,rearranged,slider_start,response,didSubjectEnterRearranged,Block,question_order,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
4,1,null,"""",image-keyboard-response,23,200300,0.0-23.0,jspsych/disgustFaces/AM10DIS.JPG,"""",1,Cue,Practice,null,16,"""","""","""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,null,"""",image-keyboard-response,24,200428,0.0-24.0,jspsych/neutralFaces/BM12NES.JPG,"""",1,backwardMask,Practice,null,100,"""","""","""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,null,"""",html-keyboard-response,25,201441,0.0-25.0,"<div style=""font-size:60px;"">+</div>","""",1,fixationBtwnNeutralMaskAndPrompt,Practice,null,1000,"""","""","""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,null,"""",html-button-response,26,206458,0.0-26.0,"<img src='jspsych/CFDfaces/CFD-LM-219-295-N.jpg'height=""250px""></br><b>Samuel</b>",null,1,IntactOrRearranged,Practice,"""","""","""","""",CFD-LM-219-295-N.jpg,Samuel,0,"""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,null,"""",html-slider-response,27,211479,0.0-27.0,"<img src='jspsych/CFDfaces/CFD-LM-219-295-N.jpg'height=""250px""></br><b>Samuel</b>","""",1,ConfidenceQuery,Practice,"""","""","""","""",CFD-WF-220-101-N.jpg,Lauren,0,0,null,"""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,4009,"""",html-button-response,28,215491,0.0-28.0,<p>Please click either button: REARRANGED or INTACT before the 5-second time limit.</p>,0,1,feedback,Practice,"""","""","""","""","""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,null,"""",html-keyboard-response,29,216504,0.0-29.0,"<div style=""font-size:60px;"">+</div>","""",2,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,null,"""",image-keyboard-response,30,216760,0.0-30.0,jspsych/scrambledNeutralFaces/scrambledBM03NES.JPG,"""",2,forwardMask,Practice,null,250,"""",n,"""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,null,"""",image-keyboard-response,31,216780,0.0-31.0,jspsych/neutralFaces/BM03NES.JPG,"""",2,Cue,Practice,null,16,"""","""","""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,null,"""",image-keyboard-response,32,216896,0.0-32.0,jspsych/neutralFaces/AM25NES.JPG,"""",2,backwardMask,Practice,null,100,"""","""","""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
