run_id,condition,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,iTrial,Phase,ExperimentPhase,key_press,StimulusDurationSetting,correctResponse,Face,Name,rearranged,slider_start,response,didSubjectEnterRearranged,CharacterResponse,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
159,1,null,"""",image-keyboard-response,31,132543,0.0-31.0,jspsych/disgustFaces/BM31DIS.JPG,"""",2,Cue,Practice,null,16,"""","""","""","""","""","""","""","""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,null,"""",image-keyboard-response,32,132648,0.0-32.0,jspsych/neutralFaces/AM26NES.JPG,"""",2,backwardMask,Practice,null,100,"""","""","""","""","""","""","""","""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,null,"""",html-keyboard-response,33,133649,0.0-33.0,"<div style=""font-size:60px;"">+</div>","""",2,fixationBtwnNeutralMaskAndPrompt,Practice,null,1000,"""","""","""","""","""","""","""","""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,3713,"""",html-button-response,34,137362,0.0-34.0,"<img src='jspsych/CFDfaces/CFD-WF-215-145-N.jpg'height=""250px""></br><b>Cassandra</b>",1,2,IntactOrRearranged,Practice,"""","""","""",CFD-WF-017-003-N.jpg,Melissa,1,"""","""",1,"""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,3826,"""",html-slider-response,35,141191,0.0-35.0,"<img src='jspsych/CFDfaces/CFD-WF-215-145-N.jpg'height=""250px""></br><b>Cassandra</b>","""",2,ConfidenceQuery,Practice,"""","""","""",CFD-WF-017-003-N.jpg,Melissa,1,0,15,"""","""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,1094,"""",html-button-response,36,142288,0.0-36.0,You are Correct. You Called A Rearranged Pair Rearranged,0,2,feedback,Practice,"""","""","""","""","""","""","""","""","""","""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,null,"""",html-keyboard-response,37,143292,0.0-37.0,"<div style=""font-size:60px;"">+</div>","""",3,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,null,"""",image-keyboard-response,38,143544,0.0-38.0,jspsych/scrambledNeutralFaces/scrambledAM02NES.JPG,"""",3,forwardMask,Practice,null,250,n,"""","""","""","""","""","""","""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,null,"""",image-keyboard-response,39,143562,0.0-39.0,jspsych/neutralFaces/AM02NES.JPG,"""",3,Cue,Practice,null,16,"""","""","""","""","""","""","""","""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,null,"""",image-keyboard-response,40,143665,0.0-40.0,jspsych/neutralFaces/AM23NES.JPG,"""",3,backwardMask,Practice,null,100,"""","""","""","""","""","""","""","""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,null,"""",html-keyboard-response,41,144666,0.0-41.0,"<div style=""font-size:60px;"">+</div>","""",3,fixationBtwnNeutralMaskAndPrompt,Practice,null,1000,"""","""","""","""","""","""","""","""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,1610,"""",html-button-response,42,146280,0.0-42.0,"<img src='jspsych/CFDfaces/CFD-WF-218-087-N.jpg'height=""250px""></br><b>Katelyn</b>",0,3,IntactOrRearranged,Practice,"""","""","""",CFD-BF-019-001-N.jpg,Erika,1,"""","""",0,"""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,1894,"""",html-slider-response,43,148177,0.0-43.0,"<img src='jspsych/CFDfaces/CFD-WF-218-087-N.jpg'height=""250px""></br><b>Katelyn</b>","""",3,ConfidenceQuery,Practice,"""","""","""",CFD-BF-019-001-N.jpg,Erika,1,0,36,"""","""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,1291,"""",html-button-response,44,149469,0.0-44.0,You are Incorrect. You called a Rearranged Pair Intact,0,3,feedback,Practice,"""","""","""","""","""","""","""","""","""","""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,null,"""",html-keyboard-response,45,150472,0.0-45.0,"<div style=""font-size:60px;"">+</div>","""",4,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,null,"""",image-keyboard-response,46,150723,0.0-46.0,jspsych/scrambledDisgustFaces/scrambledBM16DIS.JPG,"""",4,forwardMask,Practice,null,250,d,"""","""","""","""","""","""","""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,null,"""",image-keyboard-response,47,150744,0.0-47.0,jspsych/disgustFaces/BM17DIS.JPG,"""",4,Cue,Practice,null,16,"""","""","""","""","""","""","""","""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
159,1,null,"""",image-keyboard-response,48,150848,0.0-48.0,jspsych/neutralFaces/BM06NES.JPG,"""",4,backwardMask,Practice,null,100,"""","""","""","""","""","""","""","""",2/28/2021 22:51,67.83.183.0,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
