run_id,condition,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,iTrial,Phase,ExperimentPhase,key_press,StimulusDurationSetting,correctResponse,slider_start,response,Rearranged,didSubjectEnterRearranged,rearranged,Face,Name,CharacterResponse,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
87,1,null,"""",image-keyboard-response,15,30629,0.0-15.0,jspsych/neutralFaces/AF26NES.JPG,"""",1,backwardMask,Practice,null,100,"""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,null,"""",html-keyboard-response,16,31639,0.0-16.0,"<div style=""font-size:60px;"">+</div>","""",1,fixationBtwnNeutralMaskAndPrompt,Practice,null,1000,"""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,1593.1,"""",html-slider-response,17,33244,0.0-17.0,"<p><b> Practice Set </b></p><img src='jspsych/CFDfaces/CFD-WM-222-057-N.jpg'height=""250px""></br><b>Marcus</b>","""",1,ConfidenceQuery,Practice,"""","""","""",50,50,1,2,"""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,1385.76,"""",html-button-response,18,34637,0.0-18.0,<p>You responded that you were not sure.</p> <p>The pair was rearranged.</p>,0,1,feedback,Practice,"""","""","""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,null,"""",html-keyboard-response,19,35645,0.0-19.0,"<div style=""font-size:60px;"">+</div>","""",2,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,null,"""",image-keyboard-response,20,35900,0.0-20.0,jspsych/scrambledDisgustFaces/scrambledBM10DIS.JPG,"""",2,forwardMask,Practice,null,250,d,"""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,null,"""",image-keyboard-response,21,35918,0.0-21.0,jspsych/disgustFaces/BM10DIS.JPG,"""",2,Cue,Practice,null,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}","""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,null,"""",image-keyboard-response,22,36027,0.0-22.0,jspsych/neutralFaces/BM34NES.JPG,"""",2,backwardMask,Practice,null,100,"""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,null,"""",html-keyboard-response,23,37034,0.0-23.0,"<div style=""font-size:60px;"">+</div>","""",2,fixationBtwnNeutralMaskAndPrompt,Practice,null,1000,"""","""","""","""","""","""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
87,1,2179.835,"""",html-slider-response,24,39217,0.0-24.0,"<p><b> Practice Set </b></p><img src='jspsych/CFDfaces/CFD-WF-220-101-N.jpg'height=""250px""></br><b>Lisa</b>","""",2,ConfidenceQuery,Practice,"""","""","""",50,50,0,2,"""","""","""","""",1/25/2021 4:42,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
